date,time_code,demand_code,demand,series_code,series,value_million_yen,value_100m_yen,unit
2024-06-01,2024000606,120,海外需要,110,原系列,1611318.0,16113.18,100万円
2024-06-01,2024000606,130,官公需計,110,原系列,340683.0,3406.83,100万円
2024-06-01,2024000606,140,民間需要合計,110,原系列,1128930.0,11289.3,100万円
2024-06-01,2024000606,160,民間需要（船舶・電力を除く）,110,原系列,914657.0,9146.57,100万円
2024-06-01,2024000606,170,民間需要_製造業計,110,原系列,447488.0,4474.88,100万円
2024-06-01,2024000606,200,民間需要_非製造業（船舶・電力を除く）,110,原系列,468689.0,4686.89,100万円
2024-07-01,2024000707,100,受注額合計,100,季節調整系列,3042360.09677,30423.6009677,100万円
2024-07-01,2024000707,120,海外需要,100,季節調整系列,1616753.94053,16167.5394053,100万円
2024-07-01,2024000707,130,官公需計,100,季節調整系列,379472.73402,3794.7273401999996,100万円
2024-07-01,2024000707,140,民間需要合計,100,季節調整系列,1001616.76318,10016.1676318,100万円
2024-07-01,2024000707,160,民間需要（船舶・電力を除く）,100,季節調整系列,876135.24474,8761.3524474,100万円
2024-07-01,2024000707,170,民間需要_製造業計,100,季節調整系列,408790.79654,4087.9079654,100万円
2024-07-01,2024000707,200,民間需要_非製造業（船舶・電力を除く）,100,季節調整系列,475195.9347,4751.959347,100万円
2024-07-01,2024000707,100,受注額合計,110,原系列,2833380.0,28333.8,100万円
2024-07-01,2024000707,120,海外需要,110,原系列,1520161.0,15201.61,100万円
2024-07-01,2024000707,130,官公需計,110,原系列,259416.0,2594.16,100万円
2024-07-01,2024000707,140,民間需要合計,110,原系列,922512.0,9225.12,100万円
2024-07-01,2024000707,160,民間需要（船舶・電力を除く）,110,原系列,818346.0,8183.46,100万円
2024-07-01,2024000707,170,民間需要_製造業計,110,原系列,394521.0,3945.21,100万円
2024-07-01,2024000707,200,民間需要_非製造業（船舶・電力を除く）,110,原系列,425909.0,4259.09,100万円
2024-08-01,2024000808,100,受注額合計,100,季節調整系列,3017571.77126,30175.7177126,100万円
2024-08-01,2024000808,120,海外需要,100,季節調整系列,1362285.83516,13622.8583516,100万円
2024-08-01,2024000808,130,官公需計,100,季節調整系列,518798.96485,5187.9896485,100万円
2024-08-01,2024000808,140,民間需要合計,100,季節調整系列,1003246.97291,10032.4697291,100万円
2024-08-01,2024000808,160,民間需要（船舶・電力を除く）,100,季節調整系列,871779.18059,8717.7918059,100万円
2024-08-01,2024000808,170,民間需要_製造業計,100,季節調整系列,402964.48401,4029.6448401000002,100万円
2024-08-01,2024000808,200,民間需要_非製造業（船舶・電力を除く）,100,季節調整系列,457107.29421,4571.072942100001,100万円
2024-08-01,2024000808,100,受注額合計,110,原系列,2565772.0,25657.72,100万円
2024-08-01,2024000808,120,海外需要,110,原系列,1251185.0,12511.85,100万円
2024-08-01,2024000808,130,官公需計,110,原系列,374956.0,3749.56,100万円
2024-08-01,2024000808,140,民間需要合計,110,原系列,829999.0,8299.99,100万円
2024-08-01,2024000808,160,民間需要（船舶・電力を除く）,110,原系列,717915.0,7179.15,100万円
2024-08-01,2024000808,170,民間需要_製造業計,110,原系列,350628.0,3506.28,100万円
2024-08-01,2024000808,200,民間需要_非製造業（船舶・電力を除く）,110,原系列,368607.0,3686.07,100万円
2024-09-01,2024000909,100,受注額合計,100,季節調整系列,2941811.18199,29418.1118199,100万円
2024-09-01,2024000909,120,海外需要,100,季節調整系列,1265917.41547,12659.174154699998,100万円
2024-09-01,2024000909,130,官公需計,100,季節調整系列,513246.04373,5132.4604373,100万円
2024-09-01,2024000909,140,民間需要合計,100,季節調整系列,994734.62907,9947.3462907,100万円
2024-09-01,2024000909,160,民間需要（船舶・電力を除く）,100,季節調整系列,863102.24536,8631.022453599999,100万円
2024-09-01,2024000909,170,民間需要_製造業計,100,季節調整系列,395103.5267,3951.0352669999997,100万円
2024-09-01,2024000909,200,民間需要_非製造業（船舶・電力を除く）,100,季節調整系列,462144.45173,4621.4445172999995,100万円
2024-09-01,2024000909,100,受注額合計,110,原系列,3335621.0,33356.21,100万円
2024-09-01,2024000909,120,海外需要,110,原系列,1374120.0,13741.2,100万円
2024-09-01,2024000909,130,官公需計,110,原系列,679496.0,6794.96,100万円
2024-09-01,2024000909,140,民間需要合計,110,原系列,1151360.0,11513.6,100万円
2024-09-01,2024000909,160,民間需要（船舶・電力を除く）,110,原系列,987230.0,9872.3,100万円
2024-09-01,2024000909,170,民間需要_製造業計,110,原系列,438653.0,4386.53,100万円
2024-09-01,2024000909,200,民間需要_非製造業（船舶・電力を除く）,110,原系列,550036.0,5500.36,100万円
2024-10-01,2024001010,100,受注額合計,100,季節調整系列,3459430.2201,34594.302201,100万円
2024-10-01,2024001010,120,海外需要,100,季節調整系列,1340084.75659,13400.8475659,100万円
2024-10-01,2024001010,130,官公需計,100,季節調整系列,877056.34694,8770.5634694,100万円
2024-10-01,2024001010,140,民間需要合計,100,季節調整系列,1187261.99754,11872.619975399999,100万円
2024-10-01,2024001010,160,民間需要（船舶・電力を除く）,100,季節調整系列,870726.61067,8707.266106699999,100万円
2024-10-01,2024001010,170,民間需要_製造業計,100,季節調整系列,433367.49878,4333.6749878,100万円
2024-10-01,2024001010,200,民間需要_非製造業（船舶・電力を除く）,100,季節調整系列,448813.31283,4488.1331283,100万円
2024-10-01,2024001010,100,受注額合計,110,原系列,3101926.0,31019.26,100万円
2024-10-01,2024001010,120,海外需要,110,原系列,1233798.0,12337.98,100万円
2024-10-01,2024001010,130,官公需計,110,原系列,699350.0,6993.5,100万円
2024-10-01,2024001010,140,民間需要合計,110,原系列,1038588.0,10385.88,100万円
2024-10-01,2024001010,160,民間需要（船舶・電力を除く）,110,原系列,800014.0,8000.14,100万円
2024-10-01,2024001010,170,民間需要_製造業計,110,原系列,405564.0,4055.64,100万円
2024-10-01,2024001010,200,民間需要_非製造業（船舶・電力を除く）,110,原系列,396907.0,3969.07,100万円
2024-11-01,2024001111,100,受注額合計,100,季節調整系列,3055839.31493,30558.3931493,100万円
2024-11-01,2024001111,120,海外需要,100,季節調整系列,1282144.7864,12821.447864000002,100万円
2024-11-01,2024001111,130,官公需計,100,季節調整系列,585383.39398,5853.833939800001,100万円
2024-11-01,2024001111,140,民間需要合計,100,季節調整系列,1080865.37766,10808.6537766,100万円
2024-11-01,2024001111,160,民間需要（船舶・電力を除く）,100,季節調整系列,903131.52931,9031.3152931,100万円
2024-11-01,2024001111,170,民間需要_製造業計,100,季節調整系列,464409.98016,4644.099801599999,100万円
2024-11-01,2024001111,200,民間需要_非製造業（船舶・電力を除く）,100,季節調整系列,459333.65295,4593.3365295,100万円
2024-11-01,2024001111,100,受注額合計,110,原系列,2643647.0,26436.47,100万円
2024-11-01,2024001111,120,海外需要,110,原系列,1210681.0,12106.81,100万円
