取引先ID,審査日,企業名,業種大分類,業種小分類,取引区分,営業担当部署,紹介元,検収時期(年),リース期間(月),取得価格(百万円),物件ID（任意）,物件名（任意）,物件スコア（任意）,競合状況,競合提示金利(%),競合他社名,契約種別,売上高(百万円),売上総利益(百万円),営業利益(百万円),経常利益(百万円),当期純利益(百万円),純資産(百万円),総資産(百万円),機械装置(百万円),その他資産(百万円),減価償却費(百万円),減価償却累計(百万円),支払リース料(百万円),地代家賃(百万円),銀行借入(百万円),リース残高(百万円),契約件数,格付,定性_設立経営年数,定性_顧客安定性,定性_返済履歴,定性_事業将来性,定性_設備目的,定性_メイン取引銀行,強みタグ,担当者直感スコア(1-5),特記事項,最終結果,データ登録日,見積提示日,顧客反応日,結果日,獲得レート(%),基準金利(%),失注理由,競合他社,承認条件,結果登録メモ
906164,2025-09-05,0,1卸売業・小売業,0,既存先,0,銀行紹介,2025,60,25.9901,0,All inOneMeet ing Board,0,0,0,0,一般,3023.014,724.223,59.738,81.284,51.628,0,0,0.246,15.931,19.444,0,42.92,0,375.809,0.55895,0,無格付,0,0,0,0,0,0,0,0,0,成約,0,0,0,0,1.95,0,0,0,0,0
978548,2025-08-08,0,E製造業,0,既存先,0,銀行紹介,2025,60,19.8,0,日立ホイールローダー,0,0,0,0,割賦,1395.963,744.966,378.235,395.05,63.186,0,0,314.02,16.877,26.15,94.897,10.437,14.858,190.829,148.93953,0,2,0,0,0,0,0,0,0,0,0,失注,0,0,0,0,1.85,0,他社競合（レート）,0,0,他社競合（レート）
922450,2025-07-23,0,p 医療・福祉,0,既存先,0,銀行紹介,2025,60,4.298,0,サーバー機／調剤くんV8,0,0,0,0,一般,1250.591,486.195,17.183,16.57,10.802,0,0,55.352,0,26.243,0,40.47,0,69.158,12.3348,0,5,0,0,0,0,0,0,0,0,0,失注,0,0,0,0,2.54,0,他社競合（レート）,0,0,他社競合（レート）
924158,2025-08-26,0,D 建設業,0,既存先,0,銀行紹介,2025,60,12.5,0,ボルボ キャブ付シャーシ,0,0,0,0,一般,1332.044,226.313,21.809,47.301,37.48,0,0,92.94,0,14.065,68.16,16.886,28.818,13.599,23.542,0,無格付,0,0,0,0,0,0,0,0,0,失注,0,0,0,0,2.04,0,他社合（レート）,0,0,他社合（レート）
933238,2025-08-28,0,E 製造業,0,既存先,0,銀行紹介,2025,22,0.02,0,フォークリフト,0,0,0,0,一般,1811.909,114.92,6.439,-4.204,-4.438,0,0,81.138,0.508,1.813,26.97,3.265,1.777,324.093,0,0,無格付,0,0,0,0,0,0,0,0,0,成約,0,0,0,0,0,0,0,0,0,0
932719,2025-03-26,0,1卸売業・小売業,0,新規先,0,銀行紹介,2025,60,17,0,日野プロフィア F$③,0,0,0,0,自動車,4341.478,162.455,14.157,11.329,6.394,0,0,84.286,30.748,12.52,60.3,1.265,11.313,77.380956,0,0,5,0,0,0,0,0,0,0,0,0,失注,0,0,0,0,2.56,0,他社競合（レート）,0,0,他社競合（レート）
933238,2025-08-28,0,E 製造業,0,既存先,0,銀行紹介,2025,19,0.02,0,フォークリフト,0,0,0,0,自動車,1811.909,114.92,6.439,-4.204,-4.438,0,0,81.138,0.508,1.813,26.97,3.265,1.777,324.093,0,0,9,0,0,0,0,0,0,0,0,0,成約,0,0,0,0,0,0,0,0,0,0
910520,2024-07-10,0,D建設業,0,既存先,0,銀行紹介,2024,60,4.973918,0,ハイエースバン,0,0,0,0,自動車,176.302,40.214,-1.957,-1.84,0.189,0,0,22.568,0.673,2.946,2.641,0,0.066,29.243,0.0833,0,無格付,0,0,0,0,0,0,0,0,0,成約,0,0,0,0,3.01,0,0,0,0,0
933238,2025-08-28,0,E 製造業,0,新規先,0,銀行紹介,2025,19,0.02,0,フォークリフト,0,0,0,0,自動車,1811.909,114.92,6.439,-4.204,-4.438,0,0,81.138,0.508,1.813,26.97,3.265,1.777,324.093,0,0,9,0,0,0,0,0,0,0,0,0,成約,0,0,0,0,0,0,0,0,0,0
932159,2025-08-27,0,D建設業,0,既存先,0,銀行紹介,2025,39,8.75,0,ヴェルファイア（中古）,0,0,0,0,自動車,437.263,131.836,39.152,38.878,26.353,0,0,51.285,0,6.282,8.69,6.641,8.062,24.5,1.1016,0,無格付,0,0,0,0,0,0,0,0,0,失注,0,0,0,0,2.52,0,2週資見させ（お過・延期）,0,0,2週資見させ（お過・延期）
933074,2025-06-09,0,H 運輸業・郵便業,0,既存先,0,銀行紹介,2025,60,10,0,いす”トラック,0,0,0,0,自動車,1385.318,201.6,46.955,70.29,65.098,0,0,92.228,3.265,11.418,57.047,5.524,0,14.34,0,0,無格付,0,0,0,0,0,0,0,0,0,失注,0,0,0,0,0,0,調道方法変更（質・白己資金）,0,0,調道方法変更（質・白己資金）
922609,2025-07-17,0,E 製造業,0,新規先,0,銀行紹介,2025,60,0.52,0,複合機,0,0,0,0,一般,57.359,14.327,1.077,1.188,0.148,0,0,0.603,0,0.034,2.376,0.5,0,6.538,0,0,無格付,0,0,0,0,0,0,0,0,0,失注,0,0,0,0,2.87,0,給費絵具合せ（部週・延塩）,0,0,給費絵具合せ（部週・延塩）
931137,2025-08-12,0,Rサービス業（他に分類されないもの）,0,既存先,0,その他,2025,60,8.444627,0,③中古エルフ2t（初年度H26年10月）,0,0,0,0,自動車,855.587,437.774,47.605,47.33,35.299,0,0,31.476,0,22.783,0,49.773,0,168.586,20.1438,0,無格付,0,0,0,0,0,0,0,0,0,成約,0,0,0,0,2.50,0,0,0,0,0
933238,2025-08-28,0,E製造業,0,既存先,0,銀行紹介,2025,27,0.02,0,フォークリフト,0,0,0,0,自動車,1811.909,114.92,6.439,-4.204,-4.438,0,0,81.138,0.508,1.813,26.97,3.265,1.777,324.093,0,0,6,0,0,0,0,0,0,0,0,0,成約,0,0,0,0,0,0,0,0,0,0
916307,2025-05-13,0,1卸売業・小売業,0,新規先,0,銀行紹介,2025,84,30.5,0,プレハブ冷蔵庫,0,0,0,0,割賦,982.861,236.445,12.694,11.485,13.868,0,0,13.104,0,23.723,0,9.417,0,192.616,0,0,無格付,0,0,0,0,0,0,0,0,0,失注,0,0,0,0,2.81,0,0,0,0,0
922176,2025-06-11,0,H 運輸業・郵便業,0,新規先,0,銀行紹介,2025,60,13.410064,0,GIGAセミトラクタ,0,0,0,0,自動車,395.863,57.833,0.963,-0.42,2.646,0,0,51.605,0,1.815,29.867,1.428,0,126.077,38.4693,0,無格付,0,0,0,0,0,0,0,0,0,失注,0,0,0,0,2.00,0,0,0,0,0
924158,2025-08-26,0,D 建設業,0,既存先,0,銀行紹介,2025,60,12,0,ボルボ キャブ付シャーシ,0,0,0,0,一般,1332.044,226.313,21.809,47.301,37.48,0,0,92.94,0,14.065,68.16,16.886,28.818,13.599,23.542,0,無格付,0,0,0,0,0,0,0,0,0,失注,0,0,0,0,2.05,0,他社競合（レート）,0,0,他社競合（レート）
932789,2025-04-14,0,1卸売業・小売業,0,新規先,0,銀行紹介,2025,60,2.847418,0,ハイエースバン DX GL,0,0,0,0,自動車,202.01,106.953,3.216,3.553,2.43,0,0,2.768,0,1.972,0,5.041,0,4.688,0,0,無格付,0,0,0,0,0,0,0,0,0,失注,0,0,0,0,2.86,0,他社競合（レート）,0,0,他社競合（レート）
909137,2025-07-07,0,1卸売業・小売業,0,既存先,0,その他,2025,72,14.67,0,カービュウティシャン自動式洗車機,0,0,0,0,一般,4409.683,648.987,291.131,653.436,479.304,0,0,385.406,332.673,673.235,0,179.624,0,155,0,0,4,0,0,0,0,0,0,0,0,0,失注,0,0,0,0,2.01,0,他社熱合（レート）,0,0,他社熱合（レート）
916471,2025-06-05,0,H 運輸業・郵便業,0,既存先,0,銀行紹介,2025,60,8.5,0,いすy FORWARD 4t,0,0,0,0,自動車,1484.436,228.865,17.406,41.307,35.877,0,0,4.785,0,4.72,19.546,5.491,52.254,31.489,9.2317,0,9,0,0,0,0,0,0,0,0,0,失注,0,0,0,0,1.91,0,他社合（レート）,0,0,他社合（レート）
932608,2025-06-23,0,E製造業,0,新規先,0,銀行紹介,2025,84,2.116544,0,排水処理設備,0,0,0,0,一般,2183.952,242.991,-21.362,30.973,16.702,0,0,124.949,2.091,4.761,44.081,6.999,0.877,50,0,0,無格付,0,0,0,0,0,0,0,0,0,失注,0,0,0,0,2.57,0,他社験合（レート）,0,0,他社験合（レート）
932608,2025-06-23,0,E製造業,0,新規先,0,銀行紹介,2025,84,1.611841,0,排水処理設備,0,0,0,0,一般,218.395,242.991,-21.362,30.973,16.702,0,0,124.949,2.091,4.761,44.081,6.999,0.877,50,0,0,3,0,0,0,0,0,0,0,0,0,失注,0,0,0,0,2.59,0,他社競合（レート）,0,0,他社競合（レート）
923415,2025-06-27,0,E 製造業,0,既存先,0,銀行紹介,2025,96,14.7,0,自動スティック・インサータ,0,0,0,0,一般,1035.571,123.089,21.727,18.419,18.093,0,0,131.9,0.251,19.173,57.519,3.246,11.31,251.75,9.7328,0,9,0,0,0,0,0,0,0,0,0,失注,0,0,0,0,2.30,0,他社競合（レート）,0,0,他社競合（レート）
