取引先ID,審査日,企業名,業種大分類,業種小分類,取引区分,営業担当部署,紹介元,検収時期(年),リース期間(月),取得価格(百万円),物件ID（任意）,物件名（任意）,物件スコア（任意）,競合状況,競合提示金利(%),競合他社名,契約種別,売上高(百万円),売上総利益(百万円),営業利益(百万円),経常利益(百万円),当期純利益(百万円),純資産(百万円),総資産(百万円),機械装置(百万円),その他資産(百万円),減価償却費(百万円),減価償却累計(百万円),支払リース料(百万円),地代家賃(百万円),銀行借入(百万円),リース残高(百万円),契約件数,格付,定性_設立経営年数,定性_顧客安定性,定性_返済履歴,定性_事業将来性,定性_設備目的,定性_メイン取引銀行,強みタグ,担当者直感スコア(1-5),特記事項,最終結果,データ登録日,見積提示日,顧客反応日,結果日,獲得レート(%),基準金利(%),失注理由,競合他社,承認条件,結果登録メモ
908945,2024-11-12,0,H 運輸業・郵便業,0,既存先,宇都宮営業部,銀行紹介,2024,60,24.5,0,GIGA25カーゴ 冷凍ウイング,0,0,0,0,自動車,1081.692,166.918,31.224,21.906,19.774,0,0,0.266,208.647,30.789,47.728,1.082,13.079,30,34.8987,0,要注意先,0,0,0,0,0,0,0,0,0,失注,0,0,0,0,3.20,0,実車方法金更（開実・自己金）,0,0,実車方法金更（開実・自己金）
960900,2026-01-06,0,Rサービス業（他に分類されないもの）,0,既存先,宇都宮営業部,銀行紹介,2026,60,1.461,0,スチームコンベクションオーブン,0,0,0,0,一般,1126.337,470.429,48.635,57.914,31.696,0,0,51.905,-323.237,27.041,49.77,0.371,27.586,296.278,4.0014,0,無格付,0,0,0,0,0,0,0,0,0,失注,0,0,0,0,3.06,0,他社競合（レート）,0,0,他社競合（レート）
908945,2025-12-12,0,H 運輸業・郵便業,0,既存先,宇都宮営業部,銀行紹介,2025,60,6.572545,0,GIGA25カーゴ 冷凍ウイング,0,0,0,0,自動車,1081.692,166.918,31.224,21.906,19.774,0,0,0.266,208.647,30.789,47.728,1.082,13.079,30,34.8987,0,要注意先,0,0,0,0,0,0,0,0,0,成約,0,0,0,0,4.08,0,0,0,0,0
914658,2025-11-07,0,Rサービス業（他に分額されないもの）,0,既存先,宇都宮営業部,その他,2025,60,7.08,0,全自動錠剤分包機,0,0,0,0,一般,215.231,67.527,2.395,1.736,-5.245,0,0,0,0,1.137,0,6.375,0,28.316,6.8012,0,無格付,0,0,0,0,0,0,0,0,0,失注,0,0,0,0,2.81,0,他社競合（レート）,0,0,他社競合（レート）
917599,2025-07-03,0,1卸売業・小売業,0,既存先,宇都宮営業部,銀行紹介,2025,60,10.26851,0,レクサス RX RX500HF SP,0,0,0,0,自動車,130.713,79.525,24.103,22.351,16.395,0,0,0,7.995,3.367,0,2.948,0,40,8.2587,0,無格付,0,0,0,0,0,0,0,0,0,失注,0,0,0,0,0,0,設状資見合せ（結・超刷）,0,0,設状資見合せ（結・超刷）
927582,2026-01-13,0,E製造業,0,既存先,宇都宮営業部,銀行紹介,2026,60,0.91205,0,複合機,0,0,0,0,一般,16729.412,3577.264,635.4,718.291,480.317,0,0,907.663,0,25.553,426.625,245.781,0,480.42,16.174,0,無格付,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.29,0,他社期合（レート）,0,0,他社期合（レート）
965479,2025-09-10,0,H 運輸業・郵便業,0,既存先,宇都宮営業部,その他,2025,60,10531.045,0,いす”4tドライトラック,0,0,0,0,自動車,3254.014,540.222,173.618,203.162,152.922,0,0,89.021,132.928,9.176,137.067,0.999,73.927,263.019,37.93316,0,4,0,0,0,0,0,0,0,0,0,成約,0,0,0,0,2.02,0,0,0,0,0
955629,2025-12-10,0,Rサービス業（他に分類されないもの）,0,既存先,宇都宮営業部,銀行紹介,2025,13,0.02,0,フリード車いす仕様車,0,0,0,0,自動車,322.693,139.134,6.835,8.341,6.444,0,0,0,0,3.473,0,5.991,0,15.324,0,0,4,0,0,0,0,0,0,0,0,0,成約,0,0,0,0,0,0,0,0,0,0
955629,2025-12-10,0,Rサービス業（他に分類されないもの）,0,既存先,宇都宮営業部,銀行紹介,2025,22,0.01,0,フリード車いす仕様車,0,0,0,0,自動車,322.693,139.134,6.835,8.341,6.444,0,0,0,0,3.473,0,5.991,0,15.324,0,0,4,0,0,0,0,0,0,0,0,0,成約,0,0,0,0,0,0,0,0,0,0
955629,2025-12-10,0,Rサービス業（他に分類されないもの）,0,既存先,宇都宮営業部,銀行紹介,2025,27,0.02,0,フリード車いす仕様車,0,0,0,0,自動車,322.693,139.134,6.835,8.341,6.444,0,0,0,0,3.473,0,5.991,0,15.324,0,0,4,0,0,0,0,0,0,0,0,0,成約,0,0,0,0,0,0,0,0,0,0
